model,language,documents,log_bin,period_center,fourier_bins,mean_relative_density,se_relative_density
llama31,de,1777,5,3.0944667104130863,105,0.9792708235508958,0.0015638914288888918
llama31,de,1777,6,3.3500197264183567,97,1.0050494954758984,0.0016893283591681606
llama31,de,1777,7,3.627343166455213,90,1.0276339086630248,0.0018144914895726145
llama31,de,1777,8,3.92626195301624,82,1.0500440773617896,0.001943815841321815
llama31,de,1777,9,4.250092689272306,77,1.0644128623755194,0.0019698502644453844
llama31,de,1777,10,4.603468074230814,71,1.0718117050680542,0.0019883143271672873
llama31,de,1777,11,4.984267095470073,65,1.0696875856013637,0.0020828824036869566
llama31,de,1777,12,5.394424560964031,60,1.0686710604544858,0.0020307819935389466
llama31,de,1777,13,5.840467452356643,56,1.0613385359769898,0.0020607898467765243
llama31,de,1777,14,6.322619408629094,51,1.056111612520884,0.002165437999459537
llama31,de,1777,15,6.845610607228076,48,1.050737387205289,0.0022641235001641252
llama31,de,1777,16,7.415533941273617,44,1.0493102868490183,0.0023575131460699572
llama31,de,1777,17,8.025558781654992,40,1.0502710654415484,0.0025394003858156306
llama31,de,1777,18,8.68951954267665,38,1.0557469239440769,0.002572678682511604
llama31,de,1777,19,9.407669204741923,34,1.053749172861503,0.0029033905096608743
llama31,de,1777,20,10.179076618235907,32,1.0694035184712356,0.0031780326792606455
llama31,de,1777,21,11.028566357572464,30,1.0802754911468622,0.003306111025337712
llama31,de,1777,22,11.94477170193431,27,1.0690572937151146,0.0037151668167077923
llama31,de,1777,23,12.924480781696696,25,1.054399665553017,0.0036232517154627416
llama31,de,1777,24,13.983106740258739,23,1.039158345289326,0.003910182026893104
llama31,de,1777,25,15.146496450348943,22,1.0207990536124298,0.003749553849258424
llama31,de,1777,26,16.421220753444423,20,1.0102771501393957,0.0037437070462361
llama31,de,1777,27,17.774568996970093,18,0.9966541624057199,0.0038816578363390706
llama31,de,1777,28,19.235136338697405,17,0.9994718627502505,0.0040576667367892396
llama31,de,1777,29,20.796881250446052,15,1.0303427949195345,0.0044366070823626605
llama31,de,1777,30,22.511839961743885,15,1.0055207425484238,0.004324306688192931
llama31,de,1777,31,24.38700267466527,13,0.9590427339788058,0.0044090945386890635
llama31,de,1777,32,26.43351109040132,13,0.9293673834673781,0.004351593074772691
llama31,de,1777,33,28.650364158817133,11,0.9256481124297057,0.004660936367642864
llama31,de,1777,34,30.920474771901404,10,0.9065552066329128,0.004877710150778706
llama31,de,1777,35,33.44593172081344,10,0.9001209266325644,0.004875956925571141
llama31,de,1777,36,36.25725566717276,9,0.8996966995755283,0.0050552796456819205
llama31,de,1777,37,39.205599316416965,8,0.8976837156576152,0.005194944198996983
llama31,de,1777,38,42.45756834172835,8,0.8907930050773257,0.005284619136517488
llama31,de,1777,39,46.03409888580932,7,0.8925585803705086,0.005630934238448225
llama31,de,1777,40,49.96608705487118,7,0.8899535346997375,0.005663949869759389
llama31,de,1777,41,54.265543124911304,6,0.8981043736854146,0.00645012251022065
llama31,de,1777,42,58.526232769908994,5,0.8888765429828382,0.00643618179683293
llama31,de,1777,43,63.03030727083153,5,0.8986236055160811,0.006733787148613126
llama31,de,1777,44,68.28564122718676,5,0.9040879189580968,0.006871126807871946
llama31,de,1777,45,73.81678310713458,4,0.9197353831715104,0.008138039989108978
llama31,de,1777,46,80.34462965429582,5,0.9270114273910306,0.007523677077841308
llama31,de,1777,47,87.1620907268156,3,0.9536241161297988,0.01004999908432418
llama31,de,1777,48,94.19204238801649,4,0.9534156720477026,0.008708899427627075
llama31,de,1777,49,102.42134222654549,3,0.9628700366189112,0.009339484851726315
llama31,de,1777,50,110.72967047543887,3,0.9616190878056134,0.010007470234398746
llama31,de,1777,51,120.50534605263967,3,0.9703730789071627,0.009279794688886829
llama31,de,1777,52,130.04813004819508,2,0.9939749312506218,0.011685644206001213
llama31,de,1777,53,138.86740554154198,2,1.0087100044349022,0.012602481209081145
llama31,de,1777,54,151.77313332607557,3,0.9946668880244943,0.010575678748064813
llama31,de,1777,55,167.21849977399827,2,1.0256907084928055,0.012353401379947082
llama31,de,1777,56,178.0869565217391,1,1.0321769535331289,0.016878421127397108
llama31,de,1777,57,190.5631662896068,2,1.0567292627274125,0.012512995175792808
llama31,de,1777,58,210.12036650703962,2,1.0710686012067194,0.012967251662084128
llama31,de,1777,59,227.5555555555556,1,1.0934500693541456,0.016706468845906035
llama31,de,1777,60,240.9411764705883,1,1.1018037733610195,0.018215731049180638
llama31,de,1777,61,264.39566310109325,2,1.1350990899788471,0.01538685491873806
llama31,de,1777,62,292.57142857142867,1,1.1618988500923002,0.019557528676627172
llama31,de,1777,63,315.076923076923,1,1.1962728275523522,0.020317720704517594
llama31,de,1777,64,341.33333333333337,1,1.24126137007865,0.021560059979772932
llama31,de,1777,65,372.3636363636366,1,1.261043369972327,0.02409463432339816
llama31,de,1777,66,409.6000000000002,1,1.2237018677413616,0.02151204646515082
llama31,de,1777,67,455.1111111111112,1,1.2771191901895877,0.023550067782554477
llama31,de,1777,68,512.0,1,1.3276370948895844,0.024270884957794815
llama31,de,1777,69,585.1428571428573,1,1.4039472802933026,0.025672691160798167
llama31,de,1777,70,682.6666666666667,1,1.50841788198591,0.034154843324614284
llama31,de,1777,71,819.2000000000004,1,1.5909536423564878,0.04300792889109985
llama31,de,1777,72,1024.0,1,1.7618775058027991,0.046935967329373364
llama31,de,1777,73,1365.3333333333335,1,1.9628174535470817,0.0589748830038608
llama31,de,1777,74,2048.0,1,2.475821539504125,0.0752897946876814
llama31,de,1777,75,4096.0,1,3.66100050703796,0.13097675338304074
llama31,it,875,0,2.079738366502104,157,1.0014996560448657,0.002188081420169653
llama31,it,875,1,2.251755740869529,144,1.0088206279434977,0.0022311540035428587
llama31,it,875,2,2.4380159059456386,134,1.0246328643559142,0.0022558775606143014
llama31,it,875,3,2.6398663190468756,123,1.040621867774259,0.002352800874209429
llama31,it,875,4,2.858095516768718,114,1.076385551844732,0.002729840438993389
llama31,it,875,5,3.0944667104130863,105,1.0992029467254465,0.002896739340170901
llama31,it,875,6,3.3500197264183567,97,1.1188723593176144,0.0030803649188357106
llama31,it,875,7,3.627343166455213,90,1.128605983569926,0.003281599431990809
llama31,it,875,8,3.92626195301624,82,1.1161619994249197,0.003134113978567677
llama31,it,875,9,4.250092689272306,77,1.0950178873566254,0.0030143661980602966
llama31,it,875,10,4.603468074230814,71,1.0555673339448761,0.002731651920026225
llama31,it,875,11,4.984267095470073,65,1.0069891983021455,0.002710328459788896
llama31,it,875,12,5.394424560964031,60,0.9764904038392557,0.002599208020788955
llama31,it,875,13,5.840467452356643,56,0.9465516152172504,0.0028196108063519103
llama31,it,875,14,6.322619408629094,51,0.9208448400114548,0.003107233701652966
llama31,it,875,15,6.845610607228076,48,0.9117816030461647,0.0034522546533460184
llama31,it,875,16,7.415533941273617,44,0.9013119626904381,0.003615010715482833
llama31,it,875,17,8.025558781654992,40,0.8831216914111167,0.0035887147160309227
llama31,it,875,18,8.68951954267665,38,0.8812660613985138,0.0035523309406820937
llama31,it,875,19,9.407669204741923,34,0.8729097979232334,0.0037609313246418814
llama31,it,875,20,10.179076618235907,32,0.8831822587869771,0.003859637687976639
llama31,it,875,21,11.028566357572464,30,0.8885348536480541,0.004226757308253168
llama31,it,875,22,11.94477170193431,27,0.8987072241073125,0.004713902316225148
llama31,it,875,23,12.924480781696696,25,0.9033991444346149,0.006609114075360891
llama31,it,875,24,13.983106740258739,23,0.8917130956827659,0.007717121836988428
llama31,it,875,25,15.146496450348943,22,0.8776896687274307,0.006101172191653759
llama31,it,875,26,16.421220753444423,20,0.8606295022021699,0.005776528783733398
llama31,it,875,27,17.774568996970093,18,0.8538519425134695,0.005731634688325494
llama31,it,875,28,19.235136338697405,17,0.8469694499027092,0.005655548446289796
llama31,it,875,29,20.796881250446052,15,0.873726533827689,0.005946545884443951
llama31,it,875,30,22.511839961743885,15,0.9001761927259014,0.005960224111982751
llama31,it,875,31,24.38700267466527,13,0.8661206592135022,0.006177920390237485
llama31,it,875,32,26.43351109040132,13,0.8468499767833332,0.005762709886889195
llama31,it,875,33,28.650364158817133,11,0.8377489295938727,0.006570765677025886
llama31,it,875,34,30.920474771901404,10,0.8330281140797158,0.006340360165680598
llama31,it,875,35,33.44593172081344,10,0.825399106517838,0.006249675548174784
llama31,it,875,36,36.25725566717276,9,0.8274923437552189,0.00664251883576982
llama31,it,875,37,39.205599316416965,8,0.8185366208321783,0.006796544386221126
llama31,it,875,38,42.45756834172835,8,0.8269814939351002,0.006803257678249278
llama31,it,875,39,46.03409888580932,7,0.8183510207216,0.007042218010477355
llama31,it,875,40,49.96608705487118,7,0.8377707079594522,0.0073512861947911835
llama31,it,875,41,54.265543124911304,6,0.8591354280310345,0.008476404381584039
llama31,it,875,42,58.526232769908994,5,0.8480763820119153,0.008442651085543543
llama31,it,875,43,63.03030727083153,5,0.8507724609972092,0.008520852116019323
llama31,it,875,44,68.28564122718676,5,0.851698427281648,0.008910475711320726
llama31,it,875,45,73.81678310713458,4,0.8717361376308571,0.009930199231687337
llama31,it,875,46,80.34462965429582,5,0.878227353056031,0.009718401440655992
llama31,it,875,47,87.1620907268156,3,0.8968855467282915,0.012051519175938196
llama31,it,875,48,94.19204238801649,4,0.88618150329265,0.010170779566597685
llama31,it,875,49,102.42134222654549,3,0.9031378374736535,0.011909440216079295
llama31,it,875,50,110.72967047543887,3,0.9284998491297701,0.012559212984649027
llama31,it,875,51,120.50534605263967,3,0.9335919097803392,0.01247339688874777
llama31,it,875,52,130.04813004819508,2,0.9554095971552493,0.015251948064062387
llama31,it,875,53,138.86740554154198,2,0.9364104931020417,0.016463101349275838
llama31,it,875,54,151.77313332607557,3,0.9587761238088967,0.016068655448818244
llama31,it,875,55,167.21849977399827,2,0.9725905040405386,0.01618259993610261
llama31,it,875,56,178.0869565217391,1,0.9900757026611741,0.020905931577884368
llama31,it,875,57,190.5631662896068,2,1.0358186641594478,0.017707174671570108
llama31,it,875,58,210.12036650703962,2,1.0464969655525664,0.018507963654249563
llama31,it,875,59,227.5555555555556,1,1.0567440949453863,0.0228743465514475
llama31,it,875,60,240.9411764705883,1,1.109672279300453,0.024970800209886904
llama31,it,875,61,264.39566310109325,2,1.1187122394520983,0.024704514106218545
llama31,it,875,62,292.57142857142867,1,1.0946339858198717,0.026238300480747004
llama31,it,875,63,315.076923076923,1,1.1416826814456877,0.031989711365127155
llama31,it,875,64,341.33333333333337,1,1.1984289150781622,0.03170742642690497
llama31,it,875,65,372.3636363636366,1,1.160587277402964,0.027195210896030754
llama31,it,875,66,409.6000000000002,1,1.231953754268671,0.03544913780549826
llama31,it,875,67,455.1111111111112,1,1.2496930634565158,0.03086832233373425
llama31,it,875,68,512.0,1,1.32154128069363,0.04030591076560865
llama31,it,875,69,585.1428571428573,1,1.3310498257920695,0.03713994779889121
llama31,it,875,70,682.6666666666667,1,1.3576258637865517,0.03844641228584309
llama31,it,875,71,819.2000000000004,1,1.4911565839836856,0.04251228426605245
llama31,it,875,72,1024.0,1,1.5879177296108857,0.045199329080646396
