corpus,document_id,window_length,omnibus_p,mass_2_4,log_ratio_2_4,mass_4_8,log_ratio_4_8,mass_8_16,log_ratio_8_16,mass_16_32,log_ratio_16_32,mass_32_64,log_ratio_32_64,mass_64_128,log_ratio_64_128,mass_128_256,log_ratio_128_256,mass_256_512,log_ratio_256_512
brown,ca16,1024,0.22885572139303484,0.47216291871316524,-0.05279233480764156,0.22695030572578778,-0.09928925109817532,0.13825487545927123,0.12067250180635702,0.07241986746960083,0.14151578654876174,0.04696913518011917,0.4416990996831798,0.02523795891531929,0.5436538743383021,0.005488573702748156,-0.19498321544099717,0.007120959506165569,0.8505290204500815
brown,ca17,1024,0.01990049751243781,0.424625476156909,-0.16203873519064715,0.3113363437031552,0.21942293565156024,0.13266557723949468,0.052759016916566814,0.05828014049047315,-0.03765300487841827,0.02841110440863972,-0.02687150921043413,0.02670863059529526,0.6520213649792201,0.009086938891472923,0.23688037629522007,0.0026378094338800283,-0.16521507805023905
brown,ca18,1024,0.6666666666666666,0.4635733427695535,-0.07107250179172808,0.2720626626776025,0.07394986836996154,0.13227500100253115,0.07047829515425263,0.06944062799871784,0.11113872778888201,0.03099891960399833,0.03222030011986199,0.01850678201214595,0.26025122006872836,0.007482789657537715,0.1662280032986958,0.0017403852944631807,-0.5256896566728448
brown,ca19,1024,0.13432835820895522,0.507214373510309,0.016911254322381386,0.2439436125362343,-0.021225581857051923,0.131782869188836,0.05527873572515052,0.04286615012287513,-0.37172756409723906,0.04945323648477508,0.5042718980299381,0.010051634063682164,-0.3684628035098845,0.004021535336072233,-0.5422976335322423,0.007629328327414561,0.9134842928306339
brown,ca20,1024,0.6666666666666666,0.46851458542757113,-0.06935939236322586,0.25104404146429693,0.008627865291410908,0.13599894782066466,0.10860616815666502,0.06394727650930618,0.029664772087126146,0.03789756752338538,0.24037968150804367,0.014183408750745237,-0.05192558922477275,0.009796213895327636,0.41283439350425066,0.005017401831431031,0.5625452190080455
brown,ca21,1024,0.029850746268656716,0.4589922185561386,-0.08681195594827396,0.24606253615971924,-0.009642504889512127,0.1206807826705492,-0.03159374228327305,0.05696845552807432,-0.09063775624122883,0.059453095810546516,0.6996462951993667,0.023848999145882885,0.5240332555877751,0.010030000447579759,0.41263220393806943,0.016444510478312056,1.732781723360934
brown,ca22,1024,0.06965174129353234,0.44796956804288696,-0.10506866412455584,0.23905574425861828,-0.0481841908577314,0.16832464814291,0.29933418298505776,0.05828292292300637,-0.06546838730973725,0.040439706634937206,0.2883997102655136,0.021278407884028967,0.40470283895002623,0.008184531205522878,0.20854125953798697,0.004903270773805918,0.5316747559889672
brown,ca23,1024,0.12935323383084577,0.47704721831757047,-0.04309517011639674,0.2242835939234965,-0.11393497684759613,0.1304498905619584,0.06005944858970258,0.08880827428832175,0.37327860014796466,0.029761489613803375,-0.01968227107262832,0.01944331525446407,0.2738287302278062,0.009485597205921362,0.261348019606225,0.01539405509483814,1.5817140710024855
brown,ca24,1024,0.5771144278606966,0.4716752384476386,-0.05851123522463386,0.2507419477410917,0.0104472015240471,0.11588257870063803,-0.05891420839260464,0.06806817032556316,0.10388586645355602,0.043065334030190014,0.3135203204525485,0.01610591624562502,0.12387868110730427,0.01645774590061633,0.8122254962518562,0.004082283545352566,0.1799472676929188
brown,ca25,1024,0.014925373134328358,0.4928323779428073,-0.011549273679895444,0.19114708946876413,-0.27241043485611915,0.14710923728261274,0.1649343734888633,0.07628053321504352,0.21612901538590634,0.049104109340303105,0.5236759816555248,0.015843859230058637,0.02635916480188083,0.01684920196796882,0.9357870785873752,0.002556034360861729,-0.13633550988056342
